student_id,student_name,class,gender,age,mathematics,english,science,computer,attendance_pct,absent_days,total_marks,average_marks,pass_fail
S001,Student 1,A,Male,15,80,56,92.0,82,94,4,310,77.5,Pass
S002,Student 2,B,Female,18,83,87,73.0,80,90,4,323,80.75,Pass
S003,Student 3,C,Male,18,69,73,75.0,88,79,2,305,76.25,Pass
S004,Student 4,D,Female,17,92,66,57.0,80,94,2,295,73.75,Pass
S005,Student 5,A,Male,15,90,85,82.0,84,100,2,341,85.25,Pass
S006,Student 6,B,Female,18,43,94,63.0,79,98,3,279,69.75,Pass
S007,Student 7,C,Male,17,54,55,58.0,82,92,4,249,62.25,Pass
S008,Student 8,D,male,17,52,47,70.0,72,91,4,241,60.25,Pass
S009,Student 9,A,Male,15,73,84,73.0,83,82,1,313,78.25,Pass
S010,Student 10,B,Female,16,74,84,64.0,83,85,1,305,76.25,Pass
S011,Student 11,C,Male,15,83,51,50.0,61,69,1,245,61.25,Pass
S012,Student 12,D,Female,15,82,71,72.0,89,98,1,314,78.5,Pass
S013,Student 13,A,Male,16,61,91,71.0,68,83,1,291,72.75,Pass
S014,Student 14,B,Female,18,59,70,82.0,96,76,3,307,76.75,Pass
S015,Student 15,C,Male,17,57,80,68.0,57,95,1,262,65.5,Pass
S016,Student 16,D,Female,16,64,62,60.0,82,86,1,268,67.0,Pass
S017,Student 17,A,Male,18,77,90,64.0,61,96,3,292,73.0,Pass
S018,Student 18,B,Female,16,87,79,68.0,81,100,3,315,78.75,Pass
S019,Student 19,C,Male,15,72,76,86.0,68,90,1,302,75.5,Pass
S020,Student 20,D,Female,16,76,64,46.0,55,110,3,241,60.25,Pass
S021,Student 21,A,Male,18,67,98,86.0,67,90,1,318,79.5,Pass
S022,Student 22,B,Female,17,68,77,79.0,74,96,3,298,74.5,Pass
S023,Student 23,C,Male,15,72,100,73.0,93,88,2,338,84.5,Pass
S024,Student 24,D,Female,15,71,72,58.0,82,81,4,283,70.75,Pass
S025,Student 25,A,Male,16,80,82,86.0,82,85,2,330,82.5,Pass
S026,Student 26,B,Female,17,67,86,42.0,74,72,2,269,67.25,Pass
S027,Student 27,C,Male,17,91,85,59.0,61,64,4,296,74.0,Pass
S028,Student 28,D,Female,17,100,80,61.0,83,75,4,324,81.0,Pass
S029,Student 29,A,Male,18,73,73,81.0,81,93,2,308,77.0,Pass
S030,Student 30,B,Female,17,84,94,55.0,68,98,1,301,75.25,Pass
S031,Student 31,C,Male,17,91,69,91.0,79,90,1,330,82.5,Pass
S032,Student 32,D,Female,16,66,63,63.0,82,75,2,274,68.5,Pass
S033,Student 33,A,Male,15,64,88,34.0,69,74,2,255,63.75,Pass
S034,Student 34,B,Female,18,75,72,66.0,76,89,4,289,72.25,Pass
S035,Student 35,C,Male,17,81,82,75.0,84,90,2,322,80.5,Pass
S036,Student 36,D,Female,17,70,71,58.0,66,78,4,265,66.25,Pass
S037,Student 37,A,Male,17,64,64,,81,88,2,277,69.25,Pass
S038,Student 38,B,Female,16,84,83,67.0,70,92,1,304,76.0,Pass
S039,Student 39,C,Male,16,51,74,73.0,68,89,2,266,66.5,Pass
S040,Student 40,D,Female,17,90,89,66.0,81,68,4,326,81.5,Pass
S041,Student 41,A,Male,16,67,62,80.0,99,78,4,308,77.0,Pass
S042,Student 42,B,Female,17,75,94,51.0,80,100,3,300,75.0,Pass
S043,Student 43,C,Male,18,66,55,50.0,73,83,3,244,61.0,Pass
