employee_id,employee_name,department,age,experience_years,salary,city,gender,performance_rating
E001,Employee 1,IT,38,10,88925,Kolkata,Male,3.44
E002,Employee 2,HR,45,20,105925,Delhi,Female,3.34
E003,Employee 3,Finance,35,0,52497,Mumbai,Male,4.6
E004,Employee 4,Sales,26,5,63959,Bengaluru,Female,4.55
E005,Employee 5,it,43,2,53395,Kolkata,Male,5.0
E006,Employee 6,IT,32,2,71587,Delhi,Female,3.85
E007,Employee 7,HR,36,9,66394,Mumbai,Male,4.96
E008,Employee 8,Finance,44,1,61442,Bengaluru,Female,4.58
E009,Employee 9,Sales,30,2,57772,Kolkata,Male,4.33
E010,Employee 10,Operations,38,2,44195,Delhi,Female,3.35
E011,Employee 11,IT,27,2,65828,Mumbai,Male,4.0
E012,Employee 12,HR,32,8,69262,Bengaluru,Female,4.98
E013,Employee 13,Finance,22,1,62031,Kolkata,Male,3.19
E014,Employee 14,Sales,46,18,103815,Delhi,Female,3.64
E015,Employee 15,Operations,32,5,66798,Mumbai,Male,3.1
E016,Employee 16,IT,35,10,82319,Bengaluru,Female,4.57
E017,Employee 17,HR,46,21,94938,Kolkata,Male,3.83
E018,Employee 18,Finance,36,5,82911,Delhi,Female,4.6
E019,Employee 19,Sales,28,3,57817,Mumbai,Male,3.29
E020,Employee 20,Operations,42,19,105435,Bengaluru,Female,3.31
E021,Employee 21,IT,33,6,73080,Kolkata,Male,3.11
E022,Employee 22,HR,30,0,42752,Delhi,Female,4.55
E023,Employee 23,Finance,25,0,-50000,Mumbai,Male,4.65
E024,Employee 24,Sales,34,2,55293,Bengaluru,Female,4.72
E025,Employee 25,Operations,31,9,70659,Kolkata,Male,4.64
E026,Employee 26,IT,23,0,63846,Delhi,Female,4.48
E027,Employee 27,HR,43,5,60760,Mumbai,Male,4.01
E028,Employee 28,Finance,41,15,109531,Bengaluru,Female,3.74
E029,Employee 29,Sales,36,3,55698,Kolkata,Male,4.5
E030,Employee 30,Operations,56,3,60811,Delhi,Female,3.35
E031,Employee 31,IT,27,1,74711,Mumbai,Male,3.8
E032,Employee 32,HR,47,-2,112408,Bengaluru,Female,4.31
E033,Employee 33,Finance,28,3,68274,Kolkata,Male,4.75
E034,Employee 34,Sales,56,25,97344,Delhi,Female,3.38
E035,Employee 35,Operations,44,5,59958,Mumbai,Male,3.58
E036,Employee 36,IT,31,8,78104,Bengaluru,Female,4.1
E037,Employee 37,HR,35,12,90612,Kolkata,Male,3.05
E038,Employee 38,Finance,41,1,54456,Delhi,Female,3.97
E039,Employee 39,Sales,44,6,60016,Mumbai,Male,4.52
E040,Employee 40,Operations,25,4,54667,Bengaluru,Female,3.77
E041,Employee 41,IT,49,7,85422,Kolkata,Male,3.63
E042,Employee 42,HR,38,10,67399,Delhi,Female,3.13
E043,Employee 43,Finance,35,0,50366,Mumbai,Male,4.79
E044,Employee 44,Sales,49,16,96290,Bengaluru,Female,4.78
E045,Employee 45,Operations,25,2,62052,Kolkata,Male,4.87
E046,Employee 46,IT,39,1,81036,Delhi,Female,4.17
E047,Employee 47,HR,38,3,49015,Mumbai,Male,3.43
E048,Employee 48,Finance,54,2,55743,Bengaluru,Female,3.85
E049,Employee 49,Sales,40,3,58784,Kolkata,Male,7.0
E050,Employee 50,Operations,28,2,50014,Delhi,Female,3.11
E051,Employee 51,IT,40,7,84582,Mumbai,Male,4.22
E052,Employee 52,HR,37,3,54199,Bengaluru,Female,4.86
E053,Employee 53,Finance,47,2,55354,Kolkata,Male,3.23
E054,Employee 54,Sales,38,11,71133,Delhi,Female,4.7
E055,Employee 55,Operations,56,19,106533,Mumbai,Male,4.05
E056,Employee 56,IT,27,6,73694,Bengaluru,Female,3.8
E057,Employee 57,HR,24,1,46464,Kolkata,Male,4.15
E058,Employee 58,Finance,54,20,106154,Delhi,Female,4.96
E059,Employee 59,Sales,33,6,67605,Mumbai,Male,3.8
E060,Employee 60,Operations,50,15,87686,Bengaluru,Female,3.64
E061,Employee 61,IT,12,1,78363,Kolkata,Male,4.73
E062,Employee 62,HR,23,1,62285,Delhi,Female,3.82
E063,Employee 63,Finance,37,7,77975,Mumbai,Male,4.85
E064,Employee 64,Sales,50,24,110800,Bengaluru,Female,3.66
E065,Employee 65,Operations,31,4,70617,Kolkata,Male,3.92
E066,Employee 66,IT,32,7,77423,Delhi,Female,3.64
E067,Employee 67,HR,56,8,67731,Mumbai,Male,3.19
E068,Employee 68,Finance,33,2,71995,Bengaluru,Female,3.78
E069,Employee 69,Sales,53,5,61370,Kolkata,Male,4.51
E070,Employee 70,Operations,41,5,56648,Delhi,Female,4.86
E071,Employee 71,IT,28,4,79154,Mumbai,Male,3.11
E072,Employee 72,HR,45,23,102876,Bengaluru,Female,4.85
E073,Employee 73,Finance,55,15,97663,Kolkata,Male,3.08
E074,Employee 74,Sales,55,17,97045,Delhi,Female,3.05
E075,Employee 75,Operations,34,10,59806,Mumbai,Male,3.99
E076,Employee 76,IT,29,4,75423,,Female,4.57
E077,Employee 77,HR,55,8,67838,Kolkata,Male,3.75
